MethStat	context	C	CG	CHG	CHH	CA	CC	CT	CH	CW
mean_mC 	global	0.0066	0.0163	0.0031	0.0037	0.0040	0.0035	0.0033	0.0036	0.0037
sd_mCbyChr	global	0.0129	nan	nan	nan	nan	nan	nan	nan	nan
count_C 	global	9013452	2083666	1274748	5647831	2756292	1476880	2689407	6929786	5445699
contrib_mC 	global	1.0000	0.5752	0.0678	0.3565	0.1887	0.0867	0.1489	0.4248	0.3376
quant_mC 	[0]	8357666	1905968	1201105	5243796	2550119	1378493	2516289	6451698	5066408
quant_mC 	(0.00,0.20]	605823	130846	73099	401490	204535	97763	172291	474977	376826
quant_mC 	(0.20,0.40]	18650	16257	430	1949	1197	497	685	2393	1882
quant_mC 	(0.40,0.60]	11926	11452	75	395	281	93	96	474	377
quant_mC 	(0.60,0.80]	10482	10298	26	157	127	24	32	184	159
quant_mC 	(0.80,1.00]	8905	8845	13	44	33	10	14	60	47
mean_mC_byChr	Cluster_0_0	0.0039	0.0019	0.0000	0.0056	0.0085	0.0006	0.0047	0.0046	0.0065
mean_mC_byChr	Cluster_1001_0	0.0073	0.0099	0.0018	0.0075	0.0049	0.0066	0.0084	0.0068	0.0068
mean_mC_byChr	Cluster_1002_0	0.0022	0.0021	0.0017	0.0024	0.0022	0.0050	0.0013	0.0023	0.0017
mean_mC_byChr	Cluster_1003_0	0.0038	0.0047	0.0010	0.0040	0.0029	0.0043	0.0035	0.0035	0.0032
mean_mC_byChr	Cluster_1004_0	0.0042	0.0022	0.0000	0.0058	0.0034	0.0064	0.0057	0.0050	0.0047
mean_mC_byChr	Cluster_1005_0	0.0022	0.0024	0.0048	0.0016	0.0017	0.0005	0.0033	0.0021	0.0025
mean_mC_byChr	Cluster_1007_0	0.0020	0.0023	0.0015	0.0020	0.0016	0.0023	0.0020	0.0019	0.0018
mean_mC_byChr	Cluster_1009_0	0.0025	0.0015	0.0005	0.0035	0.0034	0.0023	0.0028	0.0029	0.0031
mean_mC_byChr	Cluster_100_0	0.0051	0.0051	0.0000	0.0064	0.0036	0.0084	0.0043	0.0051	0.0040
mean_mC_byChr	Cluster_1013_0_33_0_962125	0.0012	0.0034	0.0000	0.0009	0.0015	0.0000	0.0000	0.0006	0.0008
mean_mC_byChr	Cluster_1015_0	0.0047	0.0029	0.0027	0.0056	0.0046	0.0018	0.0071	0.0051	0.0060
mean_mC_byChr	Cluster_1017_0	0.0028	0.0015	0.0041	0.0035	0.0007	0.0060	0.0043	0.0036	0.0028
mean_mC_byChr	Cluster_1017_1	0.0061	0.0040	0.0000	0.0072	0.0000	0.0000	0.0122	0.0065	0.0099
mean_mC_byChr	Cluster_1019_1	0.0025	0.0038	0.0037	0.0019	0.0010	0.0060	0.0007	0.0022	0.0008
mean_mC_byChr	Cluster_1019_2	0.0055	0.0000	0.0093	0.0065	0.0145	0.0000	0.0047	0.0070	0.0097
mean_mC_byChr	Cluster_101_0	0.0028	0.0032	0.0026	0.0026	0.0036	0.0034	0.0012	0.0026	0.0024
mean_mC_byChr	Cluster_1020_0	0.0036	0.0029	0.0030	0.0042	0.0049	0.0037	0.0033	0.0039	0.0041
mean_mC_byChr	Cluster_1021_0	0.0015	0.0000	0.0000	0.0023	0.0013	0.0000	0.0034	0.0020	0.0025
mean_mC_byChr	Cluster_1022_0	0.0025	0.0000	0.0033	0.0036	0.0019	0.0030	0.0049	0.0035	0.0037
mean_mC_byChr	Cluster_1024_0	0.0049	0.0070	0.0052	0.0037	0.0091	0.0036	0.0000	0.0040	0.0042
mean_mC_byChr	Cluster_1024_1	0.0050	0.0020	0.0094	0.0060	0.0156	0.0022	0.0042	0.0066	0.0087
