MethStat	context	C	CG	CHG	CHH	CA	CC	CT	CH	CW
mean_mC 	global	0.0124	0.0287	0.0081	0.0096	0.0090	0.0114	0.0087	0.0094	0.0088
sd_mCbyChr	global	0.0274	nan	nan	nan	nan	nan	nan	nan	nan
count_C 	global	2621510	404491	290538	1924915	796461	457240	961752	2217019	1758213
contrib_mC 	global	1.0000	0.3590	0.0724	0.5676	0.2203	0.1606	0.2592	0.6410	0.4795
quant_mC 	[0]	2303122	340258	263891	1697657	712069	395165	854314	1962864	1566383
quant_mC 	(0.00,0.20]	293512	49858	25262	218171	80380	59198	103855	243654	184235
quant_mC 	(0.20,0.40]	13890	6449	965	6453	2808	2050	2560	7441	5368
quant_mC 	(0.40,0.60]	4821	3064	238	1516	693	490	571	1757	1264
quant_mC 	(0.60,0.80]	3053	2245	89	718	331	208	268	808	599
quant_mC 	(0.80,1.00]	3112	2617	93	400	180	129	184	495	364
mean_mC_byChr	Cluster_0_0	0.0616	0.0500	0.1009	0.0605	0.0722	0.0691	0.0484	0.0619	0.0556
mean_mC_byChr	Cluster_1000_0	0.0182	0.0417	0.0389	0.0153	0.0089	0.0303	0.0151	0.0171	0.0122
mean_mC_byChr	Cluster_1001_0	0.0293	0.0250	0.0478	0.0273	0.0336	0.0278	0.0287	0.0298	0.0302
mean_mC_byChr	Cluster_1002_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_1003_0	0.0036	0.0357	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_1005_0	0.0064	0.0000	0.0244	0.0043	0.0159	0.0037	0.0064	0.0068	0.0085
mean_mC_byChr	Cluster_1007_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_1008_0	0.0149	0.0000	NaN	0.0157	0.0253	0.0000	0.0165	0.0157	0.0189
mean_mC_byChr	Cluster_1009_0	0.0752	NaN	NaN	0.0752	0.2000	0.0000	0.0154	0.0752	0.0846
mean_mC_byChr	Cluster_1009_1	0.0131	NaN	NaN	0.0131	0.0426	0.0000	0.0000	0.0131	0.0189
mean_mC_byChr	Cluster_1010_0	0.0000	NaN	NaN	0.0000	0.0000	NaN	NaN	0.0000	0.0000
mean_mC_byChr	Cluster_1011_0	0.0055	NaN	NaN	0.0055	0.0000	0.0000	0.0110	0.0055	0.0079
mean_mC_byChr	Cluster_1012_0	0.0153	0.0000	0.0196	0.0163	0.0056	0.0222	0.0201	0.0164	0.0143
mean_mC_byChr	Cluster_1014_0_95_0_970153	0.0000	NaN	NaN	0.0000	0.0000	NaN	NaN	0.0000	0.0000
mean_mC_byChr	Cluster_1015_0	0.0051	0.0000	0.0000	0.0057	0.0113	0.0000	0.0039	0.0054	0.0070
mean_mC_byChr	Cluster_1016_0	0.0081	NaN	NaN	0.0081	0.0152	0.0000	0.0071	0.0081	0.0101
mean_mC_byChr	Cluster_1017_0	0.0000	NaN	0.0000	0.0000	NaN	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_1018_0	0.0085	0.0000	0.0256	0.0073	0.0000	0.0054	0.0127	0.0087	0.0095
mean_mC_byChr	Cluster_1019_0	0.0248	0.0000	0.0000	0.0294	0.0517	0.0455	0.0137	0.0269	0.0232
